URL,Paragraph,Dominant_Topic
https://new.baguio.gov.ph/news/mayor-talks-on-baguios-smart-city-vision-during-ict-conference,"“Our decision to transform Baguio City into a Smart City is aligned with our strategic direction of becoming a smart, green and sustainable city with the ultimate goal of improving the urban quality of life of our citizens.”","city, baguio, smart, center, command, say, project, quality, public, government"
https://new.baguio.gov.ph/news/mayor-talks-on-baguios-smart-city-vision-during-ict-conference,"This was emphasized by Mayor Benjamin Magalong in his message during the ‘Convergence of Luzon ICT Champions Conference and Exhibition (CLICkCONEx) 2024’ opening program, March 16, at the Baguio Convention and Cultural Center with the theme, “Pioneering Innovation in ICT (Informaiton and Communication Technology) for a Smarter Tomorrow”.","city, baguio, smart, citizen, center, digital, government, command, year, technology"
https://new.baguio.gov.ph/news/mayor-talks-on-baguios-smart-city-vision-during-ict-conference,"“More importantly, we aim to leverage technology not only for the sole purpose of achieving Smart City status, but to translate it into addressing climate change and achieve net zero,” he added during the two-day (March 16 and 17) event participated by around 300 officials and representatives from more than 20 local government units across the country and those from the private sector.","freedom, project, press, government, baguio, city, response, official, technology, unit"
https://www.bworldonline.com/sparkup/2024/03/25/583611/baguio-city-accelerates-smart-city-status-through-bitskwelas-bull-or-bear-web3-debate/,"Philippine-based education platform Bitskwela elevates Baguio’s transformation to a smart city through the Bull or Bear: Philippine Web3 Debate, highlighting the potential of Web3 to drive technological-based governance, reforms, and innovations in the city and across local governments all over the country.","city, baguio, smart, center, command, say, project, quality, public, government"
https://www.bworldonline.com/sparkup/2024/03/25/583611/baguio-city-accelerates-smart-city-status-through-bitskwelas-bull-or-bear-web3-debate/,"Held at the University of the Cordilleras, Bitskwela’s sixth Bull or Bear debate, themed “Web3 in Baguio,” served as a melting pot for different stakeholders, enthusiasts, and students to engage in an open discussion on the pros and cons of blockchain-related technologies. With a leveled understanding, Baguio citizens are able to make well-informed decisions when engaging with the Web3 space.","city, baguio, smart, citizen, center, digital, government, command, year, technology"
https://www.bworldonline.com/sparkup/2024/03/25/583611/baguio-city-accelerates-smart-city-status-through-bitskwelas-bull-or-bear-web3-debate/,"“This debate represents a pivotal step forward in our journey towards becoming a Smart City. By learning how to harness the transformative power of Web3 technology, we are not just envisioning a future of advanced governance and innovation but actively building it. Collaborations like these are crucial for us to realize a more connected, efficient, and inclusive city for all our residents,” said Baguio City Mayor Benjamin Magalong, who is leading the charge to classify Baguio as a full-fledged smart city by 2027, during the event.","city, baguio, smart, center, command, say, project, quality, public, government"
https://www.bworldonline.com/sparkup/2024/03/25/583611/baguio-city-accelerates-smart-city-status-through-bitskwelas-bull-or-bear-web3-debate/,"“The goal of the Baguio Smart City project is to leverage emerging technologies, such as data analytics and artificial intelligence, to enact good governance. Alongside the tech-savvy population of Baguio, emerging technologies like blockchain and cryptocurrencies potentially play as a strong complement to sectors such as tourism management and citizen welfare,” Bitskwela CEO Jiro Reyes added.","city, baguio, smart, urban, technology, project, traffic, development, management, magalong"
https://www.bworldonline.com/sparkup/2024/03/25/583611/baguio-city-accelerates-smart-city-status-through-bitskwelas-bull-or-bear-web3-debate/,"The debate featured esteemed leaders and experts in blockchain, technology, and innovation, including Christopher Star of Web3PH, Paolo Dioquino of DeFi Philippines, Henry James of Bitshares Labs, Pat Arro of Polkadot SEA, and Van Orpilla of Google Developers Group Baguio. They provided thought-provoking insights into topics such as the adoption of digital currencies to improve commerce and governance, and the use of NFTs (non-fungible tokens) to boost tourism.","baguio, city, land, need, stress, resource, project, philippines, issue, tourist"
https://www.bworldonline.com/sparkup/2024/03/25/583611/baguio-city-accelerates-smart-city-status-through-bitskwelas-bull-or-bear-web3-debate/,"“Bull or Bear is part of Bitskwela’s mission to help Filipinos own a piece of the internet. Our goal in these events is to bring Web3 and blockchain education to target areas where there is enough interest in emerging technology. Bitskwela envisions a Philippines where the words Bitcoin, crypto, and NFTs aren’t scary anymore for the everyday Filipino. We want cryptocurrency to be a household conversation; that’s why we’re bringing Bull or Bear to institutions such as the University of Cordillera,” Bitskwela CMO JC Macalintal added.","city, baguio, smart, urban, technology, project, traffic, development, management, magalong"
https://interaksyon.philstar.com/trends-spotlights/2023/07/29/256638/baguio-smart-city-command-center/,"Baguio City, a popular tourist destination in the Philippines, delivers its public services to its residents and visitors through an advanced Command Center.","city, baguio, smart, center, command, say, project, quality, public, government"
